company_id,year,net_profit_margin,operating_profit_margin,roe,roce,roa,debt_equity,high_leverage,interest_coverage,interest_label,interest_warning,net_debt,asset_turnover,book_value_per_share,dividend_payout_ratio,free_cash_flow,cfo_quality_score,cfo_quality_label,capex_intensity,capex_label,fcf_conversion,cfo_sign,cfi_sign,cff_sign,pattern_label,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,revenue_cagr_3yr_flag,revenue_cagr_5yr_flag,revenue_cagr_10yr_flag,pat_cagr_3yr_flag,pat_cagr_5yr_flag,pat_cagr_10yr_flag,eps_cagr_3yr_flag,eps_cagr_5yr_flag,eps_cagr_10yr_flag,quality_score
KOTAKBANK,2016,17.27,56.57,10.56,1.83,1.46,5.39,1,1.51,Interest Bearing,0,109405.0,0.08,36.38,3.0,2672.0,1.43,High Quality,11.53,Capital Intensive,23.15,+,-,+,Mixed,23.47,,,16.34,,,8.2,,,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,22.22
KOTAKBANK,2017,22.48,66.44,13.04,1.29,1.82,5.33,1,1.27,Interest Bearing,1,136768.0,0.08,41.84,2.0,7933.0,2.63,High Quality,23.69,Capital Intensive,53.49,+,-,+,Mixed,23.04,,,25.7,,,19.06,,,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,22.22
KOTAKBANK,2018,24.9,66.87,12.4,1.03,1.85,4.95,1,1.23,Interest Bearing,1,158863.0,0.07,52.98,2.0,-15867.0,1.66,High Quality,21.79,Capital Intensive,-94.42,-,-,+,Growth Funded by Debt,23.57,18.32,,26.32,22.83,,18.17,17.08,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,44.44
KOTAKBANK,2019,24.15,66.23,12.47,1.03,1.82,5.05,1,1.22,Interest Bearing,1,188276.0,0.08,60.57,2.0,-1501.0,0.25,Accrual Risk,11.14,Capital Intensive,-7.6,+,-,+,Mixed,13.5,20.0,,26.91,23.31,,25.99,18.89,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,33.33
KOTAKBANK,2020,25.67,67.45,12.9,1.44,1.94,4.9,1,1.34,Interest Bearing,1,215280.0,0.08,69.63,0.0,33551.0,5.43,High Quality,39.04,Capital Intensive,148.6,+,-,-,Shareholder Returns,14.46,20.24,,19.63,22.58,,18.56,17.61,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,55.56
KOTAKBANK,2021,30.44,90.83,11.85,1.51,2.09,3.88,1,1.26,Interest Bearing,1,170164.0,0.07,85.1,2.0,-6291.0,0.49,Accrual Risk,34.04,Capital Intensive,-21.1,+,-,-,Reinvestor,9.31,9.97,,16.87,23.17,,14.86,21.35,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,22.22
KOTAKBANK,2022,35.83,90.98,12.51,1.24,2.21,3.78,1,1.23,Interest Bearing,1,201218.0,0.06,97.44,2.0,-2595.0,0.69,Moderate,32.31,Capital Intensive,-8.45,+,-,+,Mixed,4.19,8.61,,18.83,19.22,,17.09,17.7,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,22.22
KOTAKBANK,2023,35.41,79.44,13.35,1.41,2.41,3.75,1,1.29,Interest Bearing,1,223469.0,0.07,112.6,2.0,-11623.0,0.08,Accrual Risk,24.63,Capital Intensive,-34.71,-,-,+,Growth Funded by Debt,7.99,10.9,14.55,20.21,18.99,20.89,18.56,17.84,17.46,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,33.33
KOTAKBANK,2024,32.39,83.67,14.01,1.38,2.37,4.0,1,1.24,Interest Bearing,1,273928.0,0.07,130.76,2.0,6766.0,0.86,Moderate,15.86,Capital Intensive,14.38,+,-,+,Mixed,19.66,13.52,16.72,22.16,20.38,21.84,22.54,19.34,19.12,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,44.44
LICI,2019,0.46,1.04,324.32,3.16,0.08,332.59,1,,Debt Free,0,-2630886.0,0.17,8.1,2.0,22910.0,5.05,High Quality,1.69,Asset Light,386.99,+,+,-,Liquidating Assets,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,33.33
